MthCalDt,INDNO,_NAME_,COL1
1934-01-31,1000511,MthTotRet,0.2077385059
1934-02-28,1000511,MthTotRet,-0.026909419
1934-03-31,1000511,MthTotRet,0.002125545
1934-04-30,1000511,MthTotRet,-0.008762409
1934-05-31,1000511,MthTotRet,-0.099887273
1934-06-30,1000511,MthTotRet,0.0271710884
1934-07-31,1000511,MthTotRet,-0.187625039
1934-08-31,1000511,MthTotRet,0.0982132097
1934-09-29,1000511,MthTotRet,0.0049910817
1934-10-31,1000511,MthTotRet,-0.044209986
1934-11-30,1000511,MthTotRet,0.0893996073
1934-12-31,1000511,MthTotRet,-0.018468484
1935-01-31,1000511,MthTotRet,-0.058032597
1935-02-28,1000511,MthTotRet,-0.068249951
1935-03-30,1000511,MthTotRet,-0.045069821
1935-04-30,1000511,MthTotRet,0.0980074677
1935-05-31,1000511,MthTotRet,0.0521271621
1935-06-29,1000511,MthTotRet,0.0727092972
1935-07-31,1000511,MthTotRet,0.0921410004
1935-08-31,1000511,MthTotRet,0.0642303904
1935-09-30,1000511,MthTotRet,0.0136234789
1935-10-31,1000511,MthTotRet,0.0777870003
1935-11-30,1000511,MthTotRet,0.1142763729
1935-12-31,1000511,MthTotRet,0.0468017686
1936-01-31,1000511,MthTotRet,0.1133315768
1936-02-29,1000511,MthTotRet,0.0459626655
1936-03-31,1000511,MthTotRet,0.0007650367
1936-04-30,1000511,MthTotRet,-0.097464099
1936-05-29,1000511,MthTotRet,0.0629270247
1936-06-30,1000511,MthTotRet,0.0192858836
1936-07-31,1000511,MthTotRet,0.0867858156
1936-08-31,1000511,MthTotRet,0.0240991161
1936-09-30,1000511,MthTotRet,0.0163079546
1936-10-31,1000511,MthTotRet,0.0585557915
1936-11-30,1000511,MthTotRet,0.0339807915
1936-12-31,1000511,MthTotRet,0.0126444004
1937-01-30,1000511,MthTotRet,0.0505246695
1937-02-27,1000511,MthTotRet,0.0305789471
1937-03-31,1000511,MthTotRet,0.0148764889
1937-04-30,1000511,MthTotRet,-0.087845388
1937-05-28,1000511,MthTotRet,-0.027491934
1937-06-30,1000511,MthTotRet,-0.076649978
1937-07-31,1000511,MthTotRet,0.1145786443
1937-08-31,1000511,MthTotRet,-0.05817127
1937-09-30,1000511,MthTotRet,-0.17412482
1937-10-30,1000511,MthTotRet,-0.111564002
1937-11-30,1000511,MthTotRet,-0.093808044
1937-12-31,1000511,MthTotRet,-0.093195678
1938-01-31,1000511,MthTotRet,0.0046048366
1938-02-28,1000511,MthTotRet,0.0850893737
1938-03-31,1000511,MthTotRet,-0.306927186
1938-04-30,1000511,MthTotRet,0.1892993043
1938-05-31,1000511,MthTotRet,-0.043337013
1938-06-30,1000511,MthTotRet,0.3051480037
1938-07-30,1000511,MthTotRet,0.0909084374
1938-08-31,1000511,MthTotRet,-0.059336075
1938-09-30,1000511,MthTotRet,-0.002649163
1938-10-31,1000511,MthTotRet,0.1504164532
1938-11-30,1000511,MthTotRet,-0.044653741
1938-12-31,1000511,MthTotRet,0.0642385793
1939-01-31,1000511,MthTotRet,-0.083678017
1939-02-28,1000511,MthTotRet,0.0532590162
1939-03-31,1000511,MthTotRet,-0.194921874
1939-04-29,1000511,MthTotRet,0.0062119949
1939-05-31,1000511,MthTotRet,0.0849140522
1939-06-30,1000511,MthTotRet,-0.095768051
1939-07-31,1000511,MthTotRet,0.1510388288
1939-08-31,1000511,MthTotRet,-0.103916192
1939-09-30,1000511,MthTotRet,0.374804638
1939-10-31,1000511,MthTotRet,-0.034073242
1939-11-30,1000511,MthTotRet,-0.085513882
1939-12-30,1000511,MthTotRet,0.0255158032
1940-01-31,1000511,MthTotRet,-0.043764782
1940-02-29,1000511,MthTotRet,0.0161799075
1940-03-30,1000511,MthTotRet,0.0094629408
1940-04-30,1000511,MthTotRet,0.008317826
1940-05-31,1000511,MthTotRet,-0.282952711
1940-06-29,1000511,MthTotRet,0.1271524301
1940-07-31,1000511,MthTotRet,0.0284492216
1940-08-31,1000511,MthTotRet,0.0271452667
1940-09-30,1000511,MthTotRet,0.0120845358
1940-10-31,1000511,MthTotRet,0.0616069863
1940-11-30,1000511,MthTotRet,-0.044140434
1940-12-31,1000511,MthTotRet,-0.013939386
1941-01-31,1000511,MthTotRet,-0.019415485
1941-02-28,1000511,MthTotRet,-0.011068011
1941-03-31,1000511,MthTotRet,0.0151638602
1941-04-30,1000511,MthTotRet,-0.067709337
1941-05-31,1000511,MthTotRet,-0.002942821
1941-06-30,1000511,MthTotRet,0.0601746963
1941-07-31,1000511,MthTotRet,0.1276423725
1941-08-30,1000511,MthTotRet,-0.015959103
1941-09-30,1000511,MthTotRet,-0.024632483
1941-10-31,1000511,MthTotRet,-0.078186562
1941-11-29,1000511,MthTotRet,-0.050412559
1941-12-31,1000511,MthTotRet,-0.061794853
1942-01-31,1000511,MthTotRet,0.1015718827
1942-02-28,1000511,MthTotRet,-0.007279251
1942-03-31,1000511,MthTotRet,-0.074708079
1942-04-30,1000511,MthTotRet,-0.043660855
1942-05-29,1000511,MthTotRet,0.0382453851
1942-06-30,1000511,MthTotRet,0.0140637861
1942-07-31,1000511,MthTotRet,0.0525221203
