MthCalDt,INDNO,_NAME_,COL1
1934-01-31,1000510,MthTotRet,0.1150325842
1934-02-28,1000510,MthTotRet,-0.032839584
1934-03-31,1000510,MthTotRet,0.0053550099
1934-04-30,1000510,MthTotRet,-0.025489712
1934-05-31,1000510,MthTotRet,-0.078496508
1934-06-30,1000510,MthTotRet,0.0240795628
1934-07-31,1000510,MthTotRet,-0.119846452
1934-08-31,1000510,MthTotRet,0.0586495263
1934-09-29,1000510,MthTotRet,-0.000215545
1934-10-31,1000510,MthTotRet,-0.032662624
1934-11-30,1000510,MthTotRet,0.0860594694
1934-12-31,1000510,MthTotRet,-0.000680822
1935-01-31,1000510,MthTotRet,-0.042368019
1935-02-28,1000510,MthTotRet,-0.036839572
1935-03-30,1000510,MthTotRet,-0.031454284
1935-04-30,1000510,MthTotRet,0.0964927632
1935-05-31,1000510,MthTotRet,0.0381354504
1935-06-29,1000510,MthTotRet,0.0705326418
1935-07-31,1000510,MthTotRet,0.0838143835
1935-08-31,1000510,MthTotRet,0.0265685511
1935-09-30,1000510,MthTotRet,0.0255264591
1935-10-31,1000510,MthTotRet,0.0718033819
1935-11-30,1000510,MthTotRet,0.051943029
1935-12-31,1000510,MthTotRet,0.0398866224
1936-01-31,1000510,MthTotRet,0.0718318868
1936-02-29,1000510,MthTotRet,0.0224613215
1936-03-31,1000510,MthTotRet,0.024029156
1936-04-30,1000510,MthTotRet,-0.077587936
1936-05-29,1000510,MthTotRet,0.0531060629
1936-06-30,1000510,MthTotRet,0.0325418406
1936-07-31,1000510,MthTotRet,0.0734423122
1936-08-31,1000510,MthTotRet,0.0141238153
1936-09-30,1000510,MthTotRet,0.0048169988
1936-10-31,1000510,MthTotRet,0.0762808397
1936-11-30,1000510,MthTotRet,0.0106658886
1936-12-31,1000510,MthTotRet,-0.003830328
1937-01-30,1000510,MthTotRet,0.036647925
1937-02-27,1000510,MthTotRet,0.0184829876
1937-03-31,1000510,MthTotRet,-0.003511056
1937-04-30,1000510,MthTotRet,-0.080646424
1937-05-28,1000510,MthTotRet,-0.00569858
1937-06-30,1000510,MthTotRet,-0.053803071
1937-07-31,1000510,MthTotRet,0.0989905278
1937-08-31,1000510,MthTotRet,-0.051183086
1937-09-30,1000510,MthTotRet,-0.139610084
1937-10-30,1000510,MthTotRet,-0.10272231
1937-11-30,1000510,MthTotRet,-0.084289303
1937-12-31,1000510,MthTotRet,-0.045828134
1938-01-31,1000510,MthTotRet,0.012163333
1938-02-28,1000510,MthTotRet,0.0657571834
1938-03-31,1000510,MthTotRet,-0.254106124
1938-04-30,1000510,MthTotRet,0.1426668515
1938-05-31,1000510,MthTotRet,-0.039973484
1938-06-30,1000510,MthTotRet,0.253519277
1938-07-30,1000510,MthTotRet,0.0747379451
1938-08-31,1000510,MthTotRet,-0.025900614
1938-09-30,1000510,MthTotRet,0.0169319026
1938-10-31,1000510,MthTotRet,0.0789602845
1938-11-30,1000510,MthTotRet,-0.026206715
1938-12-31,1000510,MthTotRet,0.0448096829
1939-01-31,1000510,MthTotRet,-0.070505736
1939-02-28,1000510,MthTotRet,0.0392919614
1939-03-31,1000510,MthTotRet,-0.134820725
1939-04-29,1000510,MthTotRet,-0.006597758
1939-05-31,1000510,MthTotRet,0.0695565081
1939-06-30,1000510,MthTotRet,-0.061810102
1939-07-31,1000510,MthTotRet,0.1113100767
1939-08-31,1000510,MthTotRet,-0.067551287
1939-09-30,1000510,MthTotRet,0.1811673106
1939-10-31,1000510,MthTotRet,-0.016886871
1939-11-30,1000510,MthTotRet,-0.040532192
1939-12-30,1000510,MthTotRet,0.0281774835
1940-01-31,1000510,MthTotRet,-0.03592714
1940-02-29,1000510,MthTotRet,0.0131385733
1940-03-30,1000510,MthTotRet,0.0135608869
1940-04-30,1000510,MthTotRet,-0.004457146
1940-05-31,1000510,MthTotRet,-0.231480069
1940-06-29,1000510,MthTotRet,0.0830353591
1940-07-31,1000510,MthTotRet,0.0330898725
1940-08-31,1000510,MthTotRet,0.0354213497
1940-09-30,1000510,MthTotRet,0.0142210746
1940-10-31,1000510,MthTotRet,0.0414678494
1940-11-30,1000510,MthTotRet,-0.029430965
1940-12-31,1000510,MthTotRet,0.002927263
1941-01-31,1000510,MthTotRet,-0.045554901
1941-02-28,1000510,MthTotRet,-0.004728945
1941-03-31,1000510,MthTotRet,0.0088720388
1941-04-30,1000510,MthTotRet,-0.062151697
1941-05-31,1000510,MthTotRet,0.0131839119
1941-06-30,1000510,MthTotRet,0.0588514582
1941-07-31,1000510,MthTotRet,0.0571061068
1941-08-30,1000510,MthTotRet,-0.000447614
1941-09-30,1000510,MthTotRet,-0.007350738
1941-10-31,1000510,MthTotRet,-0.064602402
1941-11-29,1000510,MthTotRet,-0.024915867
1941-12-31,1000510,MthTotRet,-0.038842849
1942-01-31,1000510,MthTotRet,0.0222760619
1942-02-28,1000510,MthTotRet,-0.017647003
1942-03-31,1000510,MthTotRet,-0.064067664
1942-04-30,1000510,MthTotRet,-0.037988117
1942-05-29,1000510,MthTotRet,0.0703389634
1942-06-30,1000510,MthTotRet,0.0235441274
1942-07-31,1000510,MthTotRet,0.0360311472
1942-08-31,1000510,MthTotRet,0.0153464446
1942-09-30,1000510,MthTotRet,0.0324493463
1942-10-31,1000510,MthTotRet,0.0678666516
1942-11-30,1000510,MthTotRet,-0.00439196
1942-12-31,1000510,MthTotRet,0.0575365648
1943-01-30,1000510,MthTotRet,0.0724335374
1943-02-27,1000510,MthTotRet,0.0585034564
1943-03-31,1000510,MthTotRet,0.0594036252
1943-04-30,1000510,MthTotRet,0.0035878063
1943-05-29,1000510,MthTotRet,0.0526975537
1943-06-30,1000510,MthTotRet,0.02168927
1943-07-31,1000510,MthTotRet,-0.053091822
1943-08-31,1000510,MthTotRet,0.0162315555
1943-09-30,1000510,MthTotRet,0.0274975724
1943-10-30,1000510,MthTotRet,-0.011650066
1943-11-30,1000510,MthTotRet,-0.067051777
1943-12-31,1000510,MthTotRet,0.0703051668
1944-01-31,1000510,MthTotRet,0.0186216122
1944-02-29,1000510,MthTotRet,0.0064785583
1944-03-31,1000510,MthTotRet,0.0213128036
1944-04-29,1000510,MthTotRet,-0.01242726
1944-05-31,1000510,MthTotRet,0.0488411963
1944-06-30,1000510,MthTotRet,0.0539746675
1944-07-31,1000510,MthTotRet,-0.019470067
1944-08-31,1000510,MthTotRet,0.0147003018
1944-09-30,1000510,MthTotRet,-0.000691636
1944-10-31,1000510,MthTotRet,0.0024349461
1944-11-30,1000510,MthTotRet,0.0173264987
1944-12-30,1000510,MthTotRet,0.0447779827
1945-01-31,1000510,MthTotRet,0.0119005531
1945-02-28,1000510,MthTotRet,0.0694718462
1945-03-31,1000510,MthTotRet,-0.04095808
1945-04-30,1000510,MthTotRet,0.0905242241
1945-05-31,1000510,MthTotRet,0.020040994
1945-06-30,1000510,MthTotRet,0.0023803511
1945-07-31,1000510,MthTotRet,-0.021539031
1945-08-31,1000510,MthTotRet,0.0598522524
1945-09-29,1000510,MthTotRet,0.0463608862
1945-10-31,1000510,MthTotRet,0.0308154065
1945-11-30,1000510,MthTotRet,0.0449496717
1945-12-31,1000510,MthTotRet,0.0111333113
1946-01-31,1000510,MthTotRet,0.0695041649
1946-02-28,1000510,MthTotRet,-0.065170897
1946-03-30,1000510,MthTotRet,0.049118316
1946-04-30,1000510,MthTotRet,0.0357477105
1946-05-31,1000510,MthTotRet,0.0287849788
1946-06-28,1000510,MthTotRet,-0.035289185
1946-07-31,1000510,MthTotRet,-0.027350213
1946-08-30,1000510,MthTotRet,-0.068855001
1946-09-30,1000510,MthTotRet,-0.104112454
1946-10-31,1000510,MthTotRet,-0.005635692
1946-11-30,1000510,MthTotRet,-0.003801181
1946-12-31,1000510,MthTotRet,0.0468180161
1947-01-31,1000510,MthTotRet,0.0220127906
1947-02-28,1000510,MthTotRet,-0.00852448
1947-03-31,1000510,MthTotRet,-0.015007714
1947-04-30,1000510,MthTotRet,-0.039560144
1947-05-29,1000510,MthTotRet,-0.000990358
1947-06-30,1000510,MthTotRet,0.0539909982
1947-07-31,1000510,MthTotRet,0.0395803415
1947-08-29,1000510,MthTotRet,-0.023076185
1947-09-30,1000510,MthTotRet,-0.009927732
1947-10-31,1000510,MthTotRet,0.0205775036
1947-11-29,1000510,MthTotRet,-0.017633105
1947-12-31,1000510,MthTotRet,0.0307839944
1948-01-31,1000510,MthTotRet,-0.037743148
1948-02-28,1000510,MthTotRet,-0.040232347
1948-03-31,1000510,MthTotRet,0.0814404039
1948-04-30,1000510,MthTotRet,0.0308207776
1948-05-28,1000510,MthTotRet,0.0840141096
1948-06-30,1000510,MthTotRet,0.0076649675
1948-07-30,1000510,MthTotRet,-0.052065211
1948-08-31,1000510,MthTotRet,0.0155394013
1948-09-30,1000510,MthTotRet,-0.027016041
1948-10-30,1000510,MthTotRet,0.0700412245
1948-11-30,1000510,MthTotRet,-0.098332116
1948-12-31,1000510,MthTotRet,0.0359516413
1949-01-31,1000510,MthTotRet,0.002676032
1949-02-28,1000510,MthTotRet,-0.031638999
1949-03-31,1000510,MthTotRet,0.0339811895
1949-04-30,1000510,MthTotRet,-0.018690991
1949-05-31,1000510,MthTotRet,-0.029423392
1949-06-30,1000510,MthTotRet,0.0017436532
1949-07-29,1000510,MthTotRet,0.0630235045
1949-08-31,1000510,MthTotRet,0.0217995075
1949-09-30,1000510,MthTotRet,0.0274150077
1949-10-31,1000510,MthTotRet,0.0297802938
1949-11-30,1000510,MthTotRet,0.0207382441
1949-12-31,1000510,MthTotRet,0.0509839873
1950-01-31,1000510,MthTotRet,0.0197025726
1950-02-28,1000510,MthTotRet,0.0196030015
1950-03-31,1000510,MthTotRet,0.0081850588
1950-04-29,1000510,MthTotRet,0.045887111
1950-05-31,1000510,MthTotRet,0.0469019553
1950-06-30,1000510,MthTotRet,-0.054224161
1950-07-31,1000510,MthTotRet,0.0225434763
1950-08-31,1000510,MthTotRet,0.0480627541
1950-09-29,1000510,MthTotRet,0.0594663266
1950-10-31,1000510,MthTotRet,0.005084251
1950-11-30,1000510,MthTotRet,0.0224297587
1950-12-30,1000510,MthTotRet,0.0554253201
1951-01-31,1000510,MthTotRet,0.0651050383
1951-02-28,1000510,MthTotRet,0.0145460345
1951-03-31,1000510,MthTotRet,-0.017484204
1951-04-30,1000510,MthTotRet,0.0491077557
1951-05-31,1000510,MthTotRet,-0.029979036
1951-06-29,1000510,MthTotRet,-0.02584837
1951-07-31,1000510,MthTotRet,0.0709345497
1951-08-31,1000510,MthTotRet,0.0502195743
1951-09-28,1000510,MthTotRet,0.0022453616
1951-10-31,1000510,MthTotRet,-0.013321077
1951-11-30,1000510,MthTotRet,0.0113883582
1951-12-31,1000510,MthTotRet,0.0418149571
1952-01-31,1000510,MthTotRet,0.0177677559
1952-02-29,1000510,MthTotRet,-0.025240584
1952-03-31,1000510,MthTotRet,0.0528050018
1952-04-30,1000510,MthTotRet,-0.041423207
1952-05-29,1000510,MthTotRet,0.0336978067
1952-06-30,1000510,MthTotRet,0.0478323343
1952-07-31,1000510,MthTotRet,0.0191287574
1952-08-29,1000510,MthTotRet,-0.005673726
1952-09-30,1000510,MthTotRet,-0.018085193
1952-10-31,1000510,MthTotRet,0.0003203807
1952-11-28,1000510,MthTotRet,0.0613820473
1952-12-31,1000510,MthTotRet,0.0382146862
1953-01-30,1000510,MthTotRet,-0.006207
1953-02-27,1000510,MthTotRet,-0.007540229
1953-03-31,1000510,MthTotRet,-0.02228799
1953-04-30,1000510,MthTotRet,-0.025307882
1953-05-29,1000510,MthTotRet,0.00740122
1953-06-30,1000510,MthTotRet,-0.013950288
1953-07-31,1000510,MthTotRet,0.0263136444
1953-08-31,1000510,MthTotRet,-0.050100571
1953-09-30,1000510,MthTotRet,0.0021866604
1953-10-30,1000510,MthTotRet,0.0510460363
1953-11-30,1000510,MthTotRet,0.023763477
1953-12-31,1000510,MthTotRet,0.0017134008
1954-01-29,1000510,MthTotRet,0.0534860351
1954-02-26,1000510,MthTotRet,0.012916261
1954-03-31,1000510,MthTotRet,0.030530033
1954-04-30,1000510,MthTotRet,0.0493576287
1954-05-28,1000510,MthTotRet,0.0427771218
1954-06-30,1000510,MthTotRet,0.0024785745
1954-07-30,1000510,MthTotRet,0.0587006986
1954-08-31,1000510,MthTotRet,-0.025894493
1954-09-30,1000510,MthTotRet,0.0825001437
1954-10-29,1000510,MthTotRet,-0.017867185
1954-11-30,1000510,MthTotRet,0.0957738186
1954-12-31,1000510,MthTotRet,0.054288433
1955-01-31,1000510,MthTotRet,0.0180759035
1955-02-28,1000510,MthTotRet,0.0135261769
1955-03-31,1000510,MthTotRet,-0.002242052
1955-04-29,1000510,MthTotRet,0.0398433453
1955-05-31,1000510,MthTotRet,0.0064326746
1955-06-30,1000510,MthTotRet,0.0812999218
1955-07-29,1000510,MthTotRet,0.0576459396
1955-08-31,1000510,MthTotRet,-0.000648143
1955-09-30,1000510,MthTotRet,0.0112860121
1955-10-31,1000510,MthTotRet,-0.030468268
1955-11-30,1000510,MthTotRet,0.0878252156
1955-12-30,1000510,MthTotRet,-0.000309137
1956-01-31,1000510,MthTotRet,-0.035056528
1956-02-29,1000510,MthTotRet,0.0413973709
1956-03-29,1000510,MthTotRet,0.070328152
1956-04-30,1000510,MthTotRet,-0.000636637
1956-05-31,1000510,MthTotRet,-0.05841356
1956-06-29,1000510,MthTotRet,0.0389097295
1956-07-31,1000510,MthTotRet,0.0514273377
1956-08-31,1000510,MthTotRet,-0.032787993
1956-09-28,1000510,MthTotRet,-0.04402242
1956-10-31,1000510,MthTotRet,0.0066193212
1956-11-30,1000510,MthTotRet,-0.001920892
1956-12-31,1000510,MthTotRet,0.036283937
1957-01-31,1000510,MthTotRet,-0.040237506
1957-02-28,1000510,MthTotRet,-0.024919055
1957-03-29,1000510,MthTotRet,0.021845855
1957-04-30,1000510,MthTotRet,0.0465379167
1957-05-31,1000510,MthTotRet,0.0387336743
1957-06-28,1000510,MthTotRet,-0.000706799
1957-07-31,1000510,MthTotRet,0.0097353794
1957-08-30,1000510,MthTotRet,-0.048856658
1957-09-30,1000510,MthTotRet,-0.057879166
1957-10-31,1000510,MthTotRet,-0.03883353
1957-11-29,1000510,MthTotRet,0.0237031471
1957-12-31,1000510,MthTotRet,-0.037414618
1958-01-31,1000510,MthTotRet,0.0457461697
1958-02-28,1000510,MthTotRet,-0.014154151
1958-03-31,1000510,MthTotRet,0.0330508759
1958-04-30,1000510,MthTotRet,0.0335331842
1958-05-29,1000510,MthTotRet,0.0213127578
1958-06-30,1000510,MthTotRet,0.0280806937
1958-07-31,1000510,MthTotRet,0.043960186
1958-08-29,1000510,MthTotRet,0.0179993597
1958-09-30,1000510,MthTotRet,0.0508343141
1958-10-31,1000510,MthTotRet,0.0273697702
1958-11-28,1000510,MthTotRet,0.0286170286
1958-12-31,1000510,MthTotRet,0.0541416615
1959-01-30,1000510,MthTotRet,0.0063306182
1959-02-27,1000510,MthTotRet,0.0068685796
1959-03-31,1000510,MthTotRet,0.0032320475
1959-04-30,1000510,MthTotRet,0.0400665222
1959-05-29,1000510,MthTotRet,0.0236445186
1959-06-30,1000510,MthTotRet,-0.00072531
1959-07-31,1000510,MthTotRet,0.0345045295
1959-08-31,1000510,MthTotRet,-0.011075632
1959-09-30,1000510,MthTotRet,-0.043181561
1959-10-30,1000510,MthTotRet,0.012573815
1959-11-30,1000510,MthTotRet,0.0184859992
1959-12-31,1000510,MthTotRet,0.0296299007
1960-01-29,1000510,MthTotRet,-0.069933378
1960-02-29,1000510,MthTotRet,0.0139212867
1960-03-31,1000510,MthTotRet,-0.012531436
1960-04-29,1000510,MthTotRet,-0.016119138
1960-05-31,1000510,MthTotRet,0.0335132701
1960-06-30,1000510,MthTotRet,0.0218068446
1960-07-29,1000510,MthTotRet,-0.022960305
1960-08-31,1000510,MthTotRet,0.0314666594
1960-09-30,1000510,MthTotRet,-0.058712787
1960-10-31,1000510,MthTotRet,-0.001294127
1960-11-30,1000510,MthTotRet,0.0460809137
1960-12-30,1000510,MthTotRet,0.048904243
1961-01-31,1000510,MthTotRet,0.0640689171
1961-02-28,1000510,MthTotRet,0.0327886442
1961-03-30,1000510,MthTotRet,0.0293448453
1961-04-28,1000510,MthTotRet,0.0046309743
1961-05-31,1000510,MthTotRet,0.0235532591
1961-06-30,1000510,MthTotRet,-0.026682398
1961-07-31,1000510,MthTotRet,0.0337950773
1961-08-31,1000510,MthTotRet,0.0247415942
1961-09-29,1000510,MthTotRet,-0.018704297
1961-10-31,1000510,MthTotRet,0.0282098319
1961-11-30,1000510,MthTotRet,0.0452264357
1961-12-29,1000510,MthTotRet,0.0046908405
1962-01-31,1000510,MthTotRet,-0.037393649
1962-02-28,1000510,MthTotRet,0.0207059472
1962-03-30,1000510,MthTotRet,-0.003842326
1962-04-30,1000510,MthTotRet,-0.061746482
